Date,Source,Production,Start_Hour,End_Hour,Day_of_Year
2/17/2022,Wind,8507,19,20,48
11/11/2021,Wind,982,5,6,315
6/6/2020,Wind,5766,1,2,158
10/24/2020,Wind,8585,8,9,298
9/18/2023,Wind,8347,9,10,261
11/24/2025,Wind,8309,7,8,328
9/9/2021,Wind,2685,1,2,252
9/25/2025,Wind,3302,18,19,268
5/12/2021,Wind,4435,17,18,132
6/2/2022,Solar,4378,9,10,153
1/14/2025,Solar,4353,15,16,14
3/22/2023,Wind,15456,14,15,81
7/7/2024,Wind,4892,19,20,189
1/28/2021,Wind,9675,4,5,28
2/12/2025,Wind,2685,1,2,43
8/25/2021,Solar,9454,14,15,237
7/17/2023,Wind,2269,6,7,198
6/25/2025,Solar,9397,13,14,176
3/3/2021,Wind,1845,9,10,62
6/22/2021,Wind,6749,14,15,173
3/19/2025,Solar,13786,13,14,78
5/31/2020,Wind,5250,19,20,152
2/21/2020,Wind,7148,16,17,52
6/4/2023,Wind,4706,8,9,155
3/3/2025,Wind,2282,18,19,62
8/17/2025,Solar,11455,12,13,229
1/3/2020,Wind,4570,21,22,3
5/19/2023,Wind,8236,18,19,139
4/3/2021,Wind,7508,5,6,93
7/16/2025,Solar,16160,12,13,197
6/8/2024,Wind,2141,5,6,160
9/29/2022,Solar,3999,15,16,272
9/19/2024,Wind,8855,8,9,263
5/23/2021,Wind,6519,20,21,143
11/19/2024,Wind,16568,2,3,324
11/2/2025,Wind,17124,12,13,306
3/6/2020,Wind,4409,19,20,66
9/24/2025,Wind,10617,14,15,267
3/6/2021,Wind,6907,0,1,65
1/8/2024,Wind,11458,1,2,8
1/29/2024,Wind,8026,9,10,29
6/8/2024,Wind,2990,21,22,160
9/5/2020,Wind,2313,2,3,249
8/29/2023,Solar,6026,16,17,241
3/31/2023,Wind,17308,21,22,90
8/2/2021,Solar,4915,12,13,214
11/12/2021,Wind,4622,19,20,316
4/7/2024,Wind,6534,13,14,98
8/23/2022,Wind,692,20,21,235
3/31/2025,Solar,12441,12,13,90
12/12/2024,Wind,3205,23,0,347
10/30/2023,Wind,6382,14,15,303
7/13/2025,Wind,2819,23,0,194
3/10/2020,Wind,12787,16,17,70
1/9/2021,Wind,2353,3,4,9
4/2/2021,Wind,7071,2,3,92
11/24/2022,Wind,10233,21,22,328
8/4/2025,Wind,2819,4,5,216
9/24/2021,Solar,3708,10,11,267
11/14/2020,Wind,9092,14,15,319
2/12/2025,Solar,3734,11,12,43
11/18/2024,Wind,7419,17,18,323
8/25/2025,Solar,7160,11,12,237
11/11/2025,Wind,13901,13,14,315
9/15/2021,Wind,2675,9,10,258
8/21/2022,Wind,794,7,8,233
11/14/2025,Wind,10916,3,4,318
4/30/2022,Solar,6810,10,11,120
10/9/2022,Wind,4965,3,4,282
4/26/2024,Wind,2294,0,1,117
3/12/2022,Wind,9696,15,16,71
2/21/2023,Solar,4252,12,13,52
3/29/2023,Solar,8491,11,12,88
4/27/2021,Wind,2003,22,23,117
2/17/2020,Wind,6453,4,5,48
1/19/2024,Wind,3521,23,0,19
3/31/2025,Wind,5090,7,8,90
