Date,Source,Production,Start_Hour,End_Hour,Day_of_Year
1/17/2024,Wind,7330,20,21,17
4/8/2022,Wind,7881,2,3,98
10/30/2022,Wind,1624,18,19,303
7/9/2023,Solar,4410,9,10,190
6/2/2020,Solar,3384,11,12,154
7/21/2025,Wind,10394,4,5,202
10/18/2024,Wind,2532,18,19,292
9/2/2022,Wind,1024,22,23,245
5/27/2023,Solar,5976,14,15,147
3/15/2020,Wind,5982,8,9,75
10/23/2024,Wind,3405,9,10,297
12/25/2020,Wind,6570,9,10,360
3/12/2025,Wind,2248,21,22,71
3/3/2023,Wind,5856,21,22,62
10/10/2022,Wind,2564,22,23,283
6/24/2020,Wind,3766,8,9,176
10/26/2020,Wind,5700,2,3,300
1/10/2022,Wind,2603,21,22,10
9/3/2024,Wind,513,2,3,247
2/3/2021,Wind,9834,7,8,34
10/5/2020,Wind,9314,6,7,279
8/18/2021,Wind,3918,18,19,230
7/8/2021,Wind,1458,3,4,189
8/20/2022,Solar,6090,12,13,232
2/24/2023,Solar,6198,13,14,55
7/5/2025,Solar,6839,9,10,186
1/21/2024,Wind,11855,2,3,21
2/27/2021,Wind,8380,23,0,58
10/13/2024,Wind,2418,5,6,287
6/20/2022,Wind,4084,3,4,171
12/3/2023,Wind,6861,5,6,337
8/4/2021,Solar,3337,14,15,216
7/7/2020,Solar,3236,9,10,189
10/10/2023,Solar,6674,15,16,283
2/11/2020,Wind,12337,2,3,42
7/2/2021,Solar,4836,13,14,183
8/27/2024,Wind,2350,0,1,240
7/18/2022,Wind,3281,19,20,199
10/8/2025,Wind,2375,18,19,281
12/6/2023,Wind,3323,1,2,340
9/30/2024,Wind,15849,9,10,274
5/5/2022,Wind,2097,1,2,125
4/17/2020,Wind,2983,18,19,108
9/29/2020,Solar,3747,12,13,273
3/29/2023,Wind,9807,17,18,88
2/26/2025,Wind,7888,5,6,57
2/1/2025,Wind,3977,23,0,32
4/30/2025,Wind,3827,6,7,120
4/23/2021,Wind,6116,3,4,113
7/11/2022,Wind,3652,22,23,192
6/26/2020,Wind,3199,6,7,178
8/2/2025,Wind,4482,7,8,214
5/11/2025,Wind,4090,17,18,131
11/16/2021,Wind,1101,18,19,320
4/20/2021,Wind,1160,19,20,110
3/24/2022,Solar,6833,14,15,83
12/9/2020,Wind,2764,7,8,344
2/21/2020,Wind,5295,10,11,52
4/5/2025,Wind,8059,21,22,95
9/6/2024,Wind,764,0,1,250
4/5/2025,Wind,7492,4,5,95
7/13/2025,Wind,4224,0,1,194
3/9/2024,Wind,5774,21,22,69
4/7/2023,Wind,3276,19,20,97
8/2/2022,Solar,6726,12,13,214
6/17/2022,Solar,6767,14,15,168
8/14/2020,Solar,4993,14,15,227
12/3/2024,Wind,1073,20,21,338
10/13/2024,Wind,2745,22,23,287
8/29/2023,Wind,2934,0,1,241
2/22/2023,Wind,3066,4,5,53
9/8/2021,Wind,5438,5,6,251
5/5/2022,Solar,4537,10,11,125
11/4/2022,Wind,6522,7,8,308
7/16/2021,Wind,3250,23,0,197
7/23/2022,Wind,1348,7,8,204
3/18/2025,Wind,14023,15,16,77
9/21/2023,Wind,6683,22,23,264
4/24/2023,Wind,7316,9,10,114
9/3/2021,Wind,2116,7,8,246
9/2/2023,Wind,4684,23,0,245
10/20/2021,Wind,10876,6,7,293
3/12/2021,Wind,13614,23,0,71
10/3/2025,Wind,5127,6,7,276
9/19/2023,Wind,6877,23,0,262
2/17/2020,Wind,8444,1,2,48
10/17/2022,Wind,7788,6,7,290
1/5/2022,Wind,7616,3,4,5
7/17/2025,Solar,5531,9,10,198
9/22/2021,Wind,2088,18,19,265
6/20/2025,Solar,10259,11,12,171
2/18/2022,Wind,14791,15,16,49
4/3/2022,Wind,1510,22,23,93
10/16/2020,Wind,1636,18,19,290
10/6/2022,Wind,2090,5,6,279
4/28/2020,Wind,4946,23,0,119
3/13/2023,Wind,15758,23,0,72
5/26/2020,Wind,4408,21,22,147
9/29/2022,Wind,1419,6,7,272
6/29/2025,Wind,2696,4,5,180
6/26/2025,Wind,14264,12,13,177
5/26/2020,Wind,6277,18,19,147
9/7/2021,Wind,6012,17,18,250
10/16/2020,Wind,3142,5,6,290
6/20/2025,Wind,4161,22,23,171
12/2/2020,Wind,2577,14,15,337
4/3/2020,Solar,5002,13,14,94
6/19/2023,Solar,6321,12,13,170
7/14/2022,Wind,5239,21,22,195
3/17/2021,Wind,5437,21,22,76
12/8/2022,Wind,1242,3,4,342
12/12/2020,Wind,6484,19,20,347
9/15/2022,Wind,3250,18,19,258
11/19/2023,Wind,11720,6,7,323
3/8/2024,Wind,10265,11,12,68
11/13/2025,Wind,10591,18,19,317
3/22/2020,Wind,9593,21,22,82
5/22/2024,Wind,4611,1,2,143
7/25/2022,Wind,5596,23,0,206
1/1/2023,Wind,11283,1,2,1
12/11/2020,Wind,6767,1,2,346
7/1/2023,Wind,7440,5,6,182
5/3/2021,Wind,657,4,5,123
8/27/2020,Wind,7459,15,16,240
12/27/2023,Wind,13912,12,13,361
4/11/2024,Solar,5597,17,18,102
10/1/2021,Wind,4034,22,23,274
9/23/2025,Wind,12969,12,13,266
3/19/2021,Wind,7181,20,21,78
12/27/2020,Wind,8326,19,20,362
5/10/2021,Wind,4506,18,19,130
11/3/2020,Wind,3252,5,6,308
11/3/2024,Wind,2791,22,23,308
5/9/2021,Wind,8251,4,5,129
6/10/2025,Solar,7037,9,10,161
3/6/2024,Wind,2314,22,23,66
11/3/2020,Wind,7836,11,12,308
9/18/2021,Wind,1755,7,8,261
5/4/2020,Wind,4587,19,20,125
2/14/2022,Wind,6618,18,19,45
10/18/2020,Wind,522,18,19,292
11/11/2020,Wind,733,6,7,316
5/13/2024,Wind,3925,20,21,134
1/14/2025,Wind,2984,23,0,14
8/26/2022,Solar,5462,17,18,238
6/26/2020,Wind,3680,18,19,178
4/24/2025,Wind,4076,21,22,114
11/24/2025,Wind,9801,22,23,328
7/13/2023,Wind,2155,5,6,194
8/28/2021,Wind,3722,6,7,240
9/23/2025,Wind,12917,15,16,266
9/16/2022,Solar,4975,10,11,259
3/10/2022,Wind,4799,17,18,69
6/7/2025,Wind,9072,8,9,158
7/25/2025,Wind,2111,4,5,206
12/14/2020,Wind,6019,13,14,349
4/21/2021,Wind,5054,20,21,111
10/19/2022,Wind,7426,21,22,292
4/13/2025,Wind,4783,13,14,103
11/7/2025,Wind,2662,0,1,311
8/20/2024,Wind,3600,7,8,233
7/30/2024,Wind,2502,21,22,212
3/7/2023,Wind,6916,22,23,66
12/13/2020,Wind,4008,3,4,348
3/17/2023,Wind,12263,13,14,76
9/11/2023,Wind,1317,4,5,254
3/12/2023,Wind,6082,1,2,71
10/14/2020,Wind,5325,18,19,288
11/6/2025,Wind,6278,12,13,310
4/26/2024,Solar,5775,16,17,117
11/3/2024,Wind,3106,3,4,308
6/22/2022,Wind,1640,23,0,173
3/20/2020,Wind,8105,23,0,80
8/19/2025,Wind,4330,19,20,231
9/28/2021,Solar,3345,10,11,271
8/22/2021,Wind,8102,12,13,234
5/4/2024,Wind,9129,12,13,125
10/4/2024,Wind,4898,3,4,278
3/4/2022,Wind,3137,23,0,63
12/10/2022,Wind,1861,19,20,344
1/29/2025,Wind,15556,3,4,29
1/10/2021,Wind,4394,10,11,10
11/15/2020,Wind,10818,0,1,320
4/18/2020,Solar,2973,15,16,109
2/3/2022,Wind,2929,5,6,34
9/13/2022,Wind,2822,21,22,256
11/26/2024,Wind,3769,17,18,331
1/27/2021,Wind,5277,10,11,27
8/21/2025,Wind,10878,17,18,233
7/11/2025,Wind,4862,1,2,192
12/31/2022,Wind,15764,4,5,365
8/8/2023,Solar,7019,10,11,220
12/29/2020,Wind,3155,21,22,364
9/1/2021,Wind,9100,11,12,244
12/7/2020,Wind,910,5,6,342
10/4/2025,Wind,13739,15,16,277
6/19/2025,Wind,4974,5,6,170
9/3/2022,Wind,5467,17,18,246
7/1/2024,Solar,9539,16,17,183
9/18/2021,Solar,3777,15,16,261
1/14/2020,Wind,14254,12,13,14
9/20/2021,Wind,1783,2,3,263
12/11/2021,Wind,7886,3,4,345
4/4/2020,Wind,5074,21,22,95
11/5/2022,Wind,5536,18,19,309
7/26/2021,Wind,2420,20,21,207
11/26/2022,Wind,5590,12,13,330
9/18/2020,Wind,6346,13,14,262
2/4/2020,Wind,11924,16,17,35
5/14/2024,Wind,7995,4,5,135
7/28/2023,Wind,5624,19,20,209
6/29/2022,Solar,5001,17,18,180
6/24/2023,Wind,2828,23,0,175
5/27/2023,Wind,5721,8,9,147
6/16/2025,Wind,2901,20,21,167
6/10/2023,Solar,4468,18,19,161
8/1/2025,Solar,3518,8,9,213
10/18/2023,Wind,10652,2,3,291
3/18/2020,Solar,2387,16,17,78
3/14/2024,Wind,7457,8,9,74
5/16/2025,Wind,8373,23,0,136
2/18/2023,Wind,5548,0,1,49
7/23/2022,Solar,6197,16,17,204
8/16/2022,Solar,6043,12,13,228
2/18/2024,Wind,14825,12,13,49
12/20/2024,Wind,8808,3,4,355
10/25/2022,Wind,6592,22,23,298
12/11/2022,Wind,1627,21,22,345
11/4/2025,Wind,14445,18,19,308
8/14/2020,Wind,2144,0,1,227
5/10/2020,Wind,2623,13,14,131
3/3/2020,Wind,2875,20,21,63
12/18/2022,Wind,4061,0,1,352
10/11/2022,Solar,1835,17,18,284
11/3/2021,Wind,3274,16,17,307
3/3/2023,Wind,4064,2,3,62
7/30/2022,Solar,7363,14,15,211
4/27/2022,Wind,6697,19,20,117
11/8/2025,Wind,1793,1,2,312
5/31/2025,Wind,879,3,4,151
8/8/2020,Solar,4095,13,14,221
5/31/2025,Solar,5672,18,19,151
8/16/2025,Solar,10645,10,11,228
12/25/2023,Wind,14253,14,15,359
6/1/2022,Wind,2649,19,20,152
4/13/2023,Wind,15743,1,2,103
7/21/2020,Wind,5093,22,23,203
5/1/2020,Wind,7037,21,22,122
1/1/2024,Wind,9309,3,4,1
1/16/2024,Solar,1871,15,16,16
7/11/2025,Solar,13109,14,15,192
6/29/2020,Wind,2917,3,4,181
1/17/2024,Wind,9363,18,19,17
3/31/2025,Solar,9527,10,11,90
9/22/2021,Wind,2010,3,4,265
1/3/2021,Wind,1604,8,9,3
4/1/2023,Wind,16341,15,16,91
2/14/2025,Wind,6637,9,10,45
9/14/2024,Wind,3929,23,0,258
2/9/2023,Wind,1172,6,7,40
10/23/2023,Wind,5375,4,5,296
1/31/2021,Wind,3009,6,7,31
2/26/2023,Wind,22043,11,12,57
7/25/2025,Solar,9373,14,15,206
11/23/2024,Wind,19031,21,22,328
7/1/2022,Wind,845,22,23,182
6/6/2021,Wind,1802,21,22,157
7/8/2024,Solar,3111,8,9,190
4/7/2024,Wind,4677,23,0,98
5/17/2021,Wind,15300,12,13,137
3/15/2023,Wind,2059,19,20,74
2/18/2024,Wind,5504,0,1,49
3/25/2025,Wind,3839,21,22,84
5/5/2020,Wind,5591,8,9,126
5/3/2025,Wind,6936,3,4,123
6/4/2023,Wind,6760,23,0,155
9/22/2023,Wind,6457,22,23,265
5/10/2020,Wind,2056,5,6,131
7/11/2020,Solar,4885,11,12,193
7/21/2024,Wind,3435,0,1,203
7/18/2023,Solar,4325,9,10,199
6/29/2025,Wind,3834,1,2,180
5/22/2024,Wind,8005,9,10,143
4/8/2024,Wind,9778,22,23,99
7/5/2020,Wind,7405,1,2,187
1/11/2021,Wind,6090,17,18,11
2/28/2021,Wind,7607,3,4,59
8/13/2024,Wind,1209,5,6,226
5/29/2020,Solar,5407,10,11,150
2/25/2022,Wind,3155,19,20,56
8/24/2024,Wind,10581,13,14,237
8/19/2023,Solar,6990,11,12,231
3/3/2020,Wind,4102,7,8,63
8/17/2021,Wind,7713,17,18,229
3/3/2024,Wind,2949,0,1,63
8/30/2020,Wind,2869,0,1,243
10/9/2021,Wind,3926,2,3,282
5/10/2020,Wind,4035,17,18,131
3/27/2020,Wind,2867,18,19,87
11/11/2023,Solar,5880,13,14,315
10/31/2023,Wind,7202,1,2,304
3/15/2025,Wind,15859,10,11,74
9/22/2023,Wind,13152,14,15,265
2/19/2023,Wind,5578,9,10,50
5/4/2023,Wind,7756,8,9,124
6/13/2021,Solar,5069,14,15,164
1/25/2022,Solar,1114,9,10,25
7/8/2023,Wind,1136,21,22,189
9/29/2021,Wind,6686,6,7,272
6/26/2020,Solar,4861,11,12,178
7/26/2022,Solar,6546,12,13,207
6/13/2022,Solar,7174,14,15,164
7/3/2021,Wind,2116,8,9,184
1/14/2024,Solar,3571,12,13,14
3/7/2024,Wind,7880,8,9,67
6/17/2021,Wind,5129,10,11,168
3/17/2025,Wind,12710,17,18,76
8/20/2023,Wind,2891,23,0,232
2/16/2021,Wind,10321,7,8,47
11/13/2022,Wind,1605,16,17,317
8/19/2020,Wind,5719,18,19,232
5/19/2024,Solar,2867,16,17,140
1/13/2022,Wind,2891,20,21,13
6/7/2025,Wind,7180,6,7,158
4/18/2021,Wind,1954,23,0,108
8/1/2021,Wind,2357,5,6,213
4/27/2021,Wind,6406,0,1,117
5/31/2023,Wind,7949,9,10,151
10/3/2023,Wind,9763,9,10,276
5/13/2020,Wind,8135,19,20,134
6/12/2023,Wind,2753,22,23,163
11/11/2022,Wind,2858,4,5,315
4/14/2021,Wind,8978,13,14,104
12/16/2023,Wind,1986,2,3,350
7/17/2021,Wind,4501,22,23,198
4/18/2024,Solar,8128,16,17,109
7/19/2025,Wind,8795,18,19,200
1/26/2023,Wind,2238,6,7,26
8/11/2022,Wind,4852,21,22,223
6/21/2024,Wind,4798,21,22,173
3/22/2023,Wind,13652,9,10,81
8/3/2025,Solar,6657,14,15,215
2/13/2020,Wind,7835,1,2,44
1/4/2021,Wind,1699,8,9,4
5/7/2022,Solar,6711,11,12,127
7/31/2020,Solar,4357,10,11,213
5/23/2024,Wind,2688,6,7,144
7/11/2021,Wind,868,21,22,192
9/26/2025,Wind,313,22,23,269
5/6/2024,Wind,3361,6,7,127
9/12/2023,Solar,4933,13,14,255
5/25/2023,Wind,7031,20,21,145
11/30/2021,Wind,12769,21,22,334
5/12/2024,Wind,6724,17,18,133
11/2/2023,Wind,15126,10,11,306
8/5/2023,Wind,2691,5,6,217
2/4/2024,Wind,7222,23,0,35
6/2/2022,Wind,3841,8,9,153
1/29/2021,Wind,14856,10,11,29
10/11/2021,Wind,2918,5,6,284
8/15/2024,Wind,1492,3,4,228
4/28/2020,Wind,2577,1,2,119
5/8/2020,Solar,3383,17,18,129
11/26/2023,Wind,3686,9,10,330
11/22/2022,Wind,8882,23,0,326
12/9/2020,Wind,2329,17,18,344
4/27/2022,Solar,9731,14,15,117
11/6/2022,Wind,8112,7,8,310
6/15/2023,Wind,3676,19,20,166
5/8/2022,Solar,6177,10,11,128
10/11/2021,Wind,3875,0,1,284
6/24/2020,Wind,4432,4,5,176
5/9/2021,Wind,9742,19,20,129
5/30/2020,Wind,4315,19,20,151
11/24/2020,Wind,1746,0,1,329
12/27/2021,Wind,8533,10,11,361
10/20/2020,Wind,10025,7,8,294
6/8/2025,Wind,2194,23,0,159
2/15/2021,Wind,10609,8,9,46
3/18/2021,Wind,3876,19,20,77
5/17/2021,Wind,15134,15,16,137
1/20/2020,Wind,5336,21,22,20
4/10/2022,Wind,1683,0,1,100
10/15/2025,Wind,5526,18,19,288
1/7/2020,Wind,4300,13,14,7
8/28/2021,Wind,3976,5,6,240
12/21/2020,Wind,12351,11,12,356
10/22/2023,Wind,6622,8,9,295
9/13/2023,Wind,1142,6,7,256
3/18/2023,Wind,6164,0,1,77
11/11/2022,Solar,6121,13,14,315
8/4/2020,Wind,1848,7,8,217
9/24/2021,Wind,811,19,20,267
4/6/2023,Wind,9974,17,18,96
1/24/2025,Wind,20266,12,13,24
2/27/2024,Wind,11863,7,8,58
7/13/2024,Wind,1314,2,3,195
10/16/2025,Wind,4569,18,19,289
1/19/2023,Wind,3941,0,1,19
10/29/2020,Wind,8304,12,13,303
4/13/2023,Wind,12488,10,11,103
11/16/2020,Wind,8614,12,13,321
7/29/2023,Wind,9214,18,19,210
11/12/2025,Wind,13981,22,23,316
10/26/2025,Wind,9488,5,6,299
10/2/2025,Solar,10562,13,14,275
9/1/2020,Solar,4322,16,17,245
9/19/2024,Wind,8099,7,8,263
5/15/2021,Wind,4140,4,5,135
2/13/2021,Wind,6179,18,19,44
8/20/2023,Wind,1018,3,4,232
3/17/2025,Solar,9414,9,10,76
4/15/2023,Wind,10025,19,20,105
10/6/2022,Wind,1907,6,7,279
12/20/2023,Wind,8716,1,2,354
4/20/2025,Wind,3971,21,22,110
11/28/2024,Wind,2505,6,7,333
9/7/2025,Wind,6061,5,6,250
8/19/2024,Solar,9521,14,15,232
11/20/2022,Wind,9046,17,18,324
2/9/2021,Wind,2115,3,4,40
5/10/2021,Wind,7215,16,17,130
12/23/2020,Wind,7054,0,1,358
9/12/2020,Solar,4331,12,13,256
10/11/2024,Wind,622,5,6,285
1/21/2024,Wind,14424,16,17,21
6/30/2023,Wind,9841,15,16,181
2/17/2023,Wind,7016,2,3,48
8/3/2023,Wind,12675,15,16,215
12/28/2023,Wind,13984,20,21,362
5/10/2020,Wind,2636,12,13,131
11/3/2025,Wind,8937,18,19,307
2/3/2025,Wind,1946,21,22,34
2/24/2024,Wind,6656,0,1,55
9/6/2020,Wind,2406,0,1,250
8/19/2020,Wind,7727,14,15,232
2/22/2021,Wind,5302,20,21,53
9/6/2021,Solar,4607,11,12,249
4/5/2024,Wind,14615,7,8,96
12/24/2020,Wind,11043,7,8,359
4/11/2023,Wind,8468,21,22,101
5/6/2025,Wind,9254,23,0,126
3/10/2023,Wind,6183,19,20,69
7/27/2024,Solar,6448,13,14,209
8/15/2022,Wind,4944,9,10,227
1/24/2024,Wind,15725,8,9,24
6/11/2024,Wind,1917,6,7,163
10/5/2024,Wind,7671,20,21,279
5/22/2020,Wind,3939,6,7,143
12/31/2021,Wind,5685,0,1,365
7/26/2025,Wind,2368,4,5,207
1/25/2020,Solar,2622,11,12,25
11/30/2021,Wind,11135,8,9,334
6/2/2022,Wind,2050,20,21,153
12/12/2024,Wind,3531,21,22,347
8/25/2024,Solar,4862,16,17,238
1/2/2020,Wind,4169,12,13,2
9/7/2023,Wind,2215,5,6,250
7/17/2023,Wind,1150,21,22,198
6/4/2025,Solar,6538,11,12,155
9/12/2022,Wind,2700,23,0,255
9/16/2020,Wind,800,0,1,260
4/6/2020,Wind,6087,14,15,97
3/6/2022,Wind,7693,21,22,65
12/20/2022,Wind,13622,5,6,354
3/19/2023,Wind,3522,18,19,78
5/14/2021,Wind,3321,22,23,134
3/19/2022,Wind,9623,20,21,78
4/15/2023,Wind,12042,11,12,105
11/10/2020,Wind,1153,0,1,315
10/8/2025,Wind,584,4,5,281
7/29/2025,Wind,5792,19,20,210
10/8/2021,Wind,3432,2,3,281
3/11/2022,Wind,10430,18,19,70
10/7/2025,Solar,3781,17,18,280
2/26/2025,Wind,15275,16,17,57
1/27/2023,Wind,7462,20,21,27
7/4/2024,Wind,6505,1,2,186
8/27/2025,Wind,2086,5,6,239
4/13/2020,Wind,3469,3,4,104
11/3/2020,Wind,3597,0,1,308
4/21/2025,Wind,3158,20,21,111
4/13/2021,Wind,4444,18,19,103
11/14/2024,Wind,3238,23,0,319
3/1/2022,Wind,2865,2,3,60
3/20/2023,Wind,1690,20,21,79
7/15/2024,Solar,8737,12,13,197
7/27/2025,Wind,2172,2,3,208
8/5/2022,Wind,2957,4,5,217
12/10/2024,Wind,10560,10,11,345
12/19/2023,Wind,11260,20,21,353
8/11/2022,Wind,4398,8,9,223
7/15/2021,Wind,7253,6,7,196
3/29/2025,Wind,11249,16,17,88
9/5/2025,Wind,687,20,21,248
11/11/2025,Wind,8058,7,8,315
6/18/2024,Solar,6244,17,18,170
4/4/2020,Wind,996,0,1,95
3/31/2024,Wind,10457,11,12,91
8/2/2022,Wind,957,21,22,214
7/20/2025,Wind,4506,1,2,201
8/3/2023,Wind,14771,1,2,215
7/12/2025,Solar,9607,11,12,193
1/26/2020,Wind,8371,21,22,26
5/16/2022,Wind,5803,8,9,136
5/23/2021,Wind,5905,0,1,143
3/18/2021,Wind,3524,2,3,77
2/4/2021,Wind,5125,1,2,35
6/10/2020,Wind,731,22,23,162
7/9/2023,Solar,4652,18,19,190
8/13/2023,Wind,931,5,6,225
3/20/2025,Wind,6946,0,1,79
8/8/2023,Wind,1820,3,4,220
7/3/2023,Wind,11480,14,15,184
9/30/2023,Wind,663,1,2,273
1/10/2020,Wind,1571,22,23,10
12/30/2024,Solar,3281,12,13,365
5/2/2021,Solar,3016,18,19,122
8/7/2021,Wind,11586,18,19,219
5/28/2021,Wind,2572,0,1,148
5/16/2022,Solar,7699,11,12,136
1/4/2020,Wind,1931,23,0,4
11/8/2020,Wind,3916,8,9,313
7/27/2023,Wind,9065,7,8,208
9/10/2024,Wind,4683,0,1,254
3/19/2021,Wind,5907,6,7,78
2/28/2020,Wind,2643,3,4,59
5/18/2023,Wind,7850,0,1,138
4/20/2020,Wind,5296,3,4,111
4/9/2020,Wind,723,6,7,100
5/3/2025,Solar,5971,13,14,123
7/30/2025,Wind,1452,3,4,211
4/28/2020,Wind,3067,4,5,119
2/26/2023,Wind,14492,21,22,57
4/11/2021,Wind,7658,14,15,101
5/8/2024,Solar,9558,14,15,129
4/8/2020,Wind,2303,8,9,99
7/4/2021,Wind,862,4,5,185
1/28/2025,Wind,19004,17,18,28
11/14/2020,Wind,11103,19,20,319
7/21/2020,Wind,4876,0,1,203
10/4/2022,Wind,1416,1,2,277
8/4/2024,Solar,6580,17,18,217
1/2/2020,Wind,6857,23,0,2
7/10/2021,Wind,2043,20,21,191
2/26/2022,Wind,9716,21,22,57
11/29/2022,Wind,1111,17,18,333
6/8/2025,Wind,8306,7,8,159
4/5/2022,Wind,8495,18,19,95
3/10/2024,Wind,2181,7,8,70
8/23/2020,Wind,4332,19,20,236
11/24/2020,Wind,1768,3,4,329
7/23/2024,Wind,5404,5,6,205
5/23/2024,Wind,2979,2,3,144
4/16/2023,Wind,5054,5,6,106
6/6/2025,Wind,7339,13,14,157
1/19/2024,Wind,2193,2,3,19
12/17/2023,Solar,3018,15,16,351
3/21/2025,Wind,8152,18,19,80
9/6/2020,Wind,1961,2,3,250
12/4/2020,Wind,12264,2,3,339
7/17/2024,Solar,6067,10,11,199
10/1/2025,Solar,10058,13,14,274
3/30/2021,Solar,4810,11,12,89
5/24/2024,Wind,703,23,0,145
2/16/2023,Solar,7999,11,12,47
11/2/2025,Wind,8643,22,23,306
7/31/2024,Wind,1578,21,22,213
12/31/2024,Wind,4218,8,9,366
1/12/2023,Wind,15968,5,6,12
3/9/2024,Wind,11075,0,1,69
4/21/2025,Wind,3806,6,7,111
6/19/2022,Wind,12018,16,17,170
3/24/2022,Solar,4911,9,10,83
12/6/2023,Solar,3145,14,15,340
10/22/2020,Wind,4372,15,16,296
9/1/2022,Wind,3514,3,4,244
2/17/2023,Wind,7645,6,7,48
6/14/2025,Wind,4111,19,20,165
9/28/2025,Solar,5298,15,16,271
11/4/2025,Wind,13899,11,12,308
7/5/2021,Solar,7806,12,13,186
2/21/2022,Wind,14976,3,4,52
11/17/2025,Wind,5188,20,21,321
8/23/2024,Wind,11855,7,8,236
3/31/2022,Wind,11938,13,14,90
9/28/2021,Wind,3222,17,18,271
6/24/2024,Wind,2733,4,5,176
9/3/2021,Wind,1704,22,23,246
10/3/2022,Wind,1114,19,20,276
8/22/2022,Wind,1373,5,6,234
2/27/2022,Wind,8949,4,5,58
6/28/2022,Wind,1723,23,0,179
8/22/2025,Wind,6431,0,1,234
5/5/2023,Solar,4662,18,19,125
3/19/2022,Wind,12710,13,14,78
4/18/2021,Solar,3757,9,10,108
7/11/2025,Solar,11291,17,18,192
9/4/2025,Wind,8069,19,20,247
10/21/2022,Wind,9441,14,15,294
7/27/2020,Wind,6801,10,11,209
7/9/2020,Wind,7247,16,17,191
6/19/2023,Solar,4302,16,17,170
8/13/2020,Wind,1791,7,8,226
9/21/2023,Wind,7242,23,0,264
7/25/2022,Wind,8474,10,11,206
11/27/2023,Wind,11622,18,19,331
4/9/2022,Solar,5360,10,11,99
11/2/2022,Wind,6705,5,6,306
8/17/2022,Wind,1436,5,6,229
4/20/2021,Wind,703,7,8,110
8/15/2024,Wind,1268,6,7,228
7/11/2022,Wind,3830,6,7,192
7/2/2022,Wind,670,2,3,183
5/24/2021,Wind,8343,5,6,144
2/24/2023,Wind,5199,9,10,55
4/14/2021,Wind,9278,15,16,104
4/12/2025,Wind,8931,22,23,102
12/22/2022,Wind,12428,10,11,356
1/18/2024,Wind,7810,2,3,18
5/31/2024,Wind,7089,16,17,152
9/9/2021,Wind,5141,13,14,252
4/13/2025,Wind,4906,12,13,103
3/23/2024,Wind,9137,22,23,83
2/26/2025,Wind,8535,23,0,57
8/3/2022,Wind,1047,0,1,215
4/7/2025,Wind,5598,22,23,97
9/15/2021,Solar,3974,12,13,258
3/26/2023,Wind,9201,3,4,85
2/19/2020,Wind,8999,5,6,50
9/14/2020,Wind,3828,9,10,258
7/23/2022,Wind,1099,23,0,204
6/4/2021,Wind,2095,8,9,155
4/12/2020,Wind,748,2,3,103
1/2/2021,Wind,1281,3,4,2
5/16/2025,Wind,7218,20,21,136
1/28/2024,Wind,8152,5,6,28
10/2/2021,Wind,14843,16,17,275
9/18/2020,Wind,5286,10,11,262
11/24/2020,Wind,6481,21,22,329
12/21/2022,Wind,10235,12,13,355
7/19/2021,Wind,5773,2,3,200
6/29/2022,Solar,5357,10,11,180
12/22/2023,Wind,19987,12,13,356
12/4/2024,Solar,6363,12,13,339
2/21/2021,Wind,8829,13,14,52
6/20/2022,Wind,5728,2,3,171
11/19/2020,Wind,3854,23,0,324
11/10/2025,Wind,12666,13,14,314
12/20/2024,Wind,5569,8,9,355
5/11/2025,Solar,3967,12,13,131
11/18/2024,Wind,8530,2,3,323
3/3/2025,Solar,8311,11,12,62
12/28/2021,Wind,12013,22,23,362
10/31/2021,Wind,6221,4,5,304
12/5/2020,Wind,5385,21,22,340
5/12/2024,Wind,4245,8,9,133
4/15/2022,Wind,5750,22,23,105
12/22/2024,Wind,19398,9,10,357
2/5/2021,Wind,3021,14,15,36
7/12/2022,Solar,6997,14,15,193
6/15/2020,Wind,2022,23,0,167
10/23/2023,Wind,8658,9,10,296
2/2/2023,Wind,6057,8,9,33
7/28/2024,Solar,5654,14,15,210
10/9/2024,Wind,12421,13,14,283
2/15/2023,Solar,6270,10,11,46
11/18/2021,Solar,3326,14,15,322
6/28/2022,Wind,3348,19,20,179
1/12/2024,Wind,6624,1,2,12
6/16/2020,Wind,1461,5,6,168
7/7/2020,Wind,1906,7,8,189
9/12/2022,Solar,4987,10,11,255
6/6/2023,Solar,8282,14,15,157
12/31/2023,Wind,17690,16,17,365
2/22/2025,Wind,10776,3,4,53
2/12/2020,Wind,5618,23,0,43
7/27/2025,Wind,1887,4,5,208
10/28/2023,Wind,12258,8,9,301
5/22/2025,Solar,6175,14,15,142
12/23/2024,Wind,17302,2,3,358
8/17/2025,Wind,7604,22,23,229
4/23/2024,Wind,4610,3,4,114
3/26/2021,Wind,9646,17,18,85
12/4/2021,Wind,12295,15,16,338
2/12/2021,Wind,9320,15,16,43
8/8/2023,Wind,2130,21,22,220
1/20/2021,Wind,11737,0,1,20
8/15/2025,Solar,6084,9,10,227
3/31/2025,Wind,5157,6,7,90
11/11/2022,Wind,2683,2,3,315
7/9/2022,Wind,8525,18,19,190
9/5/2023,Wind,7414,0,1,248
11/19/2022,Solar,4418,10,11,323
10/23/2023,Wind,5596,17,18,296
1/13/2023,Wind,13913,1,2,13
4/21/2020,Wind,4642,23,0,112
12/19/2020,Wind,10820,11,12,354
1/6/2021,Wind,1187,6,7,6
